edition	version	module	symsrv_key	pdb_path
classic	1.09d	D2Launch.dll	3C0701401	C:\Src\Diablo2\Release\D2Launch.pdb
classic	1.09d	D2MCPClient.dll	3C06FEFD1	C:\Src\Diablo2\Release\D2MCPClient.pdb
classic	1.09d	D2Multi.dll	3C0701581	C:\Src\Diablo2\Release\D2Multi.pdb
classic	1.09d	D2Net.dll	3C06FDE41	C:\Src\Diablo2\Release\D2Net.pdb
classic	1.09d	D2Sound.dll	3C06FF091	C:\Src\Diablo2\Release\D2Sound.pdb
classic	1.09d	D2Win.dll	3C06FF321	C:\Src\Diablo2\Release\D2Win.pdb
classic	1.09d	D2gfx.dll	3C06FEF41	C:\Src\Diablo2\Release\D2gfx.pdb
classic	1.09d	Fog.dll	3C06FCD31	C:\Src\Diablo2\Release\Fog.pdb
classic	1.09d	Storm.dll	3B8AB1CE1	C:\Projects\Diablo2\Release\Storm.pdb
classic	1.10	Bnclient.dll	3F8A5F461	C:\projects\D2\head\Diablo2\Release\Bnclient.pdb
classic	1.10	D2CMP.dll	3F8767892	C:\projects\D2\head\Diablo2\Release\D2CMP.pdb
classic	1.10	D2Client.dll	3F7CB8BE1	C:\projects\D2\head\Diablo2\Release\D2Client.pdb
classic	1.10	D2Common.dll	3F7CB6CB1	C:\projects\D2\head\Diablo2\Release\D2Common.pdb
classic	1.10	D2DDraw.dll	3F7CB8D91	C:\projects\D2\head\Diablo2\Release\D2DDraw.pdb
classic	1.10	D2Direct3D.dll	3F7CB8E31	C:\projects\D2\head\Diablo2\Release\D2Direct3D.pdb
classic	1.10	D2Game.dll	3F7CB7901	C:\projects\D2\head\Diablo2\Release\D2Game.pdb
classic	1.10	D2Gdi.dll	3F7CB8EA1	C:\projects\D2\head\Diablo2\Release\D2Gdi.pdb
classic	1.10	D2Glide.dll	3F7CB8F31	C:\projects\D2\head\Diablo2\Release\D2Glide.pdb
classic	1.10	D2Lang.dll	3F8767962	C:\projects\D2\head\Diablo2\Release\D2Lang.pdb
classic	1.10	D2Launch.dll	3F8A5F591	C:\projects\D2\head\Diablo2\Release\D2Launch.pdb
classic	1.10	D2MCPClient.dll	3F8769252	C:\projects\D2\head\Diablo2\Release\D2MCPClient.pdb
classic	1.10	D2Multi.dll	3F8A5F671	C:\projects\D2\head\Diablo2\Release\D2Multi.pdb
classic	1.10	D2Net.dll	3F8768362	C:\projects\D2\head\Diablo2\Release\D2Net.pdb
classic	1.10	D2Sound.dll	3F87692D2	C:\projects\D2\head\Diablo2\Release\D2Sound.pdb
classic	1.10	D2Win.dll	3F87694A2	C:\projects\D2\head\Diablo2\Release\D2Win.pdb
classic	1.10	D2gfx.dll	3F7CB7A21	C:\projects\D2\head\Diablo2\Release\D2gfx.pdb
classic	1.10	Fog.dll	3F8A5C4F1	C:\projects\D2\head\Diablo2\Release\Fog.pdb
classic	1.10	Storm.dll	3F3AAB3A2	C:\projects\D2\head\Diablo2\Release\Storm.pdb
lod	1.07	Bnclient.dll	3AF6E1F01	C:\Projects\Diablo2\Release\Bnclient.pdb
lod	1.07	D2CMP.dll	3AF6E1E31	C:\Projects\Diablo2\Release\D2CMP.pdb
lod	1.07	D2Client.dll	3B0071971	C:\Projects\Diablo2\Release\D2Client.pdb
lod	1.07	D2Common.dll	3AF6E23D1	C:\Projects\Diablo2\Release\D2Common.pdb
lod	1.07	D2DDraw.dll	3AF6E3B11	C:\Projects\Diablo2\Release\D2DDraw.pdb
lod	1.07	D2Direct3D.dll	3AF6E3B81	C:\Projects\Diablo2\Release\D2Direct3D.pdb
lod	1.07	D2Game.dll	3AF879CA1	C:\Projects\Diablo2\Release\D2Game.pdb
lod	1.07	D2Gdi.dll	3AF6E3BC1	C:\Projects\Diablo2\Release\D2Gdi.pdb
lod	1.07	D2Glide.dll	3AF6E3C21	C:\Projects\Diablo2\Release\D2Glide.pdb
lod	1.07	D2Lang.dll	3AF6E1E91	C:\Projects\Diablo2\Release\D2Lang.pdb
lod	1.07	D2Launch.dll	3AF6E3D01	C:\Projects\Diablo2\Release\D2Launch.pdb
lod	1.07	D2MCPClient.dll	3AF6E2C31	C:\Projects\Diablo2\Release\D2MCPClient.pdb
lod	1.07	D2Multi.dll	3AF6E3D91	C:\Projects\Diablo2\Release\D2Multi.pdb
lod	1.07	D2Net.dll	3AF6E2451	C:\Projects\Diablo2\Release\D2Net.pdb
lod	1.07	D2Sound.dll	3AF6E2C71	C:\Projects\Diablo2\Release\D2Sound.pdb
lod	1.07	D2Win.dll	3AF984391	C:\Projects\Diablo2\Release\D2Win.pdb
lod	1.07	D2gfx.dll	3AF6E2C01	C:\Projects\Diablo2\Release\D2gfx.pdb
lod	1.07	Fog.dll	3AF6E1D91	C:\Projects\Diablo2\Release\Fog.pdb
lod	1.07	Storm.dll	3ADCA6322	D:\D2\Release\Storm.pdb
lod	1.07_Beta	Bnclient.dll	3ABFF53412	D:\D2\Release\Bnclient.pdb
lod	1.07_Beta	D2CMP.dll	3AC3CEEC13	D:\D2\Release\D2CMP.pdb
lod	1.07_Beta	D2CMPd.dll	3ADB2A338	D:\D2\Obj\Debug-Expansion\D2Cmp\D2CMPd.pdb
lod	1.07_Beta	D2Client.dll	3AC3D1491C	D:\D2\Release\D2Client.pdb
lod	1.07_Beta	D2Common.dll	3AE08982A	D:\D2\Release\D2Common.pdb
lod	1.07_Beta	D2DDraw.dll	3ABFF3EA10	D:\D2\Release\D2DDraw.pdb
lod	1.07_Beta	D2Direct3D.dll	3ABFF3F410	D:\D2\Release\D2Direct3D.pdb
lod	1.07_Beta	D2Game.dll	3AF879CA1	C:\Projects\Diablo2\Release\D2Game.pdb
lod	1.07_Beta	D2Gdi.dll	3ABFF3E310	D:\D2\Release\D2Gdi.pdb
lod	1.07_Beta	D2Glide.dll	3ABFF93610	D:\D2\Release\D2Glide.pdb
lod	1.07_Beta	D2Lang.dll	3AC3CEF7E	D:\D2\Release\D2Lang.pdb
lod	1.07_Beta	D2Launch.dll	3ABFF53B14	D:\D2\Release\D2Launch.pdb
lod	1.07_Beta	D2MCPClient.dll	3AC3D024E	D:\D2\Release\D2MCPClient.pdb
lod	1.07_Beta	D2Multi.dll	3ABFF14912	D:\D2\Release\D2Multi.pdb
lod	1.07_Beta	D2Net.dll	3ABFF1D6F	D:\D2\Release\D2Net.pdb
lod	1.07_Beta	D2OpenGL.dll	382C6E0E2	C:\D2\Release\Obj\D2OpenGL\D2OpenGL.pdb
lod	1.07_Beta	D2Sound.dll	3AC3D02CE	D:\D2\Release\D2Sound.pdb
lod	1.07_Beta	D2Win.dll	3ABFF13311	D:\D2\Release\D2Win.pdb
lod	1.07_Beta	D2gfx.dll	3ABFF0FBF	D:\D2\Release\D2gfx.pdb
lod	1.07_Beta	Fog.dll	3ABFF0F2F	D:\D2\Release\Fog.pdb
lod	1.07_Beta	Storm.dll	3ADCA6321	D:\D2\Release\Storm.pdb
lod	1.07_Beta	Stormd.dll	3AD88D071	C:\D2\Debug\StormD.pdb
lod	1.07_Beta	TelnetD.dll	3AC3AE5E2	D:\D2\Obj\Debug-Expansion\TelnetD\TelnetD.pdb
lod	1.08	Bnclient.dll	3B2EB28E1	C:\Projects\Diablo2\Release\Bnclient.pdb
lod	1.08	D2CMP.dll	3B2EB2811	C:\Projects\Diablo2\Release\D2CMP.pdb
